
label:               N/A
model:               bmDCA                                             
input MSA:           final_fullpf00014.fasta                           
alphabet:            protein                                           
sampler:             gibbs                                             
nchains:             10000                                             
nsweeps:             10                                                
lr:                  0.05                                              
pseudo count:        0.00011791062374719962                            
data type:           float32                                           
target Pearson Cij:  0.95                                              
random seed:         0                                                 

Epochs     Pearson    Slope      LL_train   LL_test    ESS        Entropy    Density    Time      
50         0.335      0.105      -89.512    nan        0.996      91.079     1.000      144.034   
100        0.563      0.228      -88.098    nan        0.993      90.689     1.000      282.247   
150        0.675      0.340      -86.957    nan        0.991      89.932     1.000      416.655   
200        0.730      0.437      -86.006    nan        0.989      89.384     1.000      553.687   
250        0.765      0.511      -85.179    nan        0.988      88.738     1.000      689.481   
300        0.789      0.559      -84.441    nan        0.987      88.353     1.000      835.166   
350        0.808      0.602      -83.770    nan        0.986      87.890     1.000      988.635   
400        0.825      0.639      -83.151    nan        0.985      87.502     1.000      1127.863  
450        0.838      0.659      -82.574    nan        0.985      87.109     1.000      1273.414  
500        0.847      0.691      -82.034    nan        0.984      86.777     1.000      1421.149  
550        0.856      0.706      -81.523    nan        0.984      86.129     1.000      1556.950  
600        0.863      0.723      -81.038    nan        0.983      85.821     1.000      1693.264  
650        0.870      0.740      -80.574    nan        0.983      85.394     1.000      1846.503  
700        0.875      0.758      -80.130    nan        0.982      85.098     1.000      1983.313  
750        0.878      0.765      -79.702    nan        0.982      84.831     1.000      2119.654  
800        0.884      0.771      -79.288    nan        0.981      84.493     1.000      2258.493  
850        0.886      0.776      -78.888    nan        0.981      84.181     1.000      2411.711  
900        0.891      0.785      -78.500    nan        0.981      83.846     1.000      2564.550  
950        0.893      0.808      -78.123    nan        0.980      83.448     1.000      2714.242  
1000       0.897      0.811      -77.755    nan        0.980      83.202     1.000      2866.014  
1050       0.900      0.815      -77.397    nan        0.980      82.660     1.000      3016.544  
1100       0.902      0.817      -77.046    nan        0.979      82.498     1.000      3166.978  
1150       0.904      0.824      -76.704    nan        0.979      82.236     1.000      3318.508  
1200       0.905      0.831      -76.368    nan        0.979      81.866     1.000      3468.177  
1250       0.908      0.835      -76.039    nan        0.978      81.371     1.000      3618.841  
1300       0.909      0.851      -75.716    nan        0.978      81.245     1.000      3768.084  
1350       0.911      0.843      -75.399    nan        0.978      81.064     1.000      3917.013  
1400       0.912      0.850      -75.087    nan        0.977      80.948     1.000      4067.762  
1450       0.914      0.853      -74.781    nan        0.977      80.672     1.000      4219.543  
1500       0.916      0.855      -74.478    nan        0.977      80.307     1.000      4370.108  
1550       0.917      0.866      -74.181    nan        0.976      79.997     1.000      4519.129  
1600       0.918      0.859      -73.887    nan        0.976      79.904     1.000      4669.677  
1650       0.919      0.870      -73.598    nan        0.976      79.657     1.000      4820.640  
1700       0.919      0.858      -73.313    nan        0.975      79.438     1.000      4971.259  
1750       0.922      0.874      -73.031    nan        0.975      79.053     1.000      5122.816  
1800       0.922      0.868      -72.752    nan        0.975      78.782     1.000      5272.765  
1850       0.923      0.881      -72.476    nan        0.974      78.513     1.000      5423.522  
1900       0.925      0.881      -72.204    nan        0.974      78.178     1.000      5590.150  
1950       0.926      0.888      -71.934    nan        0.974      77.864     1.000      5740.135  
2000       0.926      0.891      -71.668    nan        0.973      77.802     1.000      5891.056  
2050       0.927      0.886      -71.404    nan        0.973      77.490     1.000      6040.706  
2100       0.928      0.897      -71.142    nan        0.973      77.191     1.000      6189.497  
2150       0.928      0.892      -70.883    nan        0.972      77.010     1.000      6340.004  
2200       0.929      0.888      -70.627    nan        0.972      76.663     1.000      6490.699  
2250       0.929      0.898      -70.372    nan        0.972      76.579     1.000      6640.665  
2300       0.931      0.899      -70.120    nan        0.971      76.401     1.000      6791.573  
2350       0.931      0.895      -69.870    nan        0.971      76.137     1.000      6942.860  
2400       0.931      0.903      -69.622    nan        0.970      75.723     1.000      7094.020  
2450       0.933      0.908      -69.375    nan        0.970      75.561     1.000      7245.548  
2500       0.933      0.905      -69.131    nan        0.970      75.353     1.000      7396.060  
2550       0.933      0.906      -68.889    nan        0.969      75.416     1.000      7547.096  
2600       0.935      0.912      -68.648    nan        0.969      74.755     1.000      7697.460  
2650       0.933      0.902      -68.409    nan        0.969      74.643     1.000      7847.919  
2700       0.934      0.908      -68.171    nan        0.968      74.439     1.000      9309.466  
2750       0.936      0.912      -67.935    nan        0.968      74.210     1.000      9459.697  
2800       0.936      0.932      -67.700    nan        0.967      73.907     1.000      9601.580  
2850       0.936      0.917      -67.467    nan        0.967      73.773     1.000      9744.621  
2900       0.936      0.919      -67.235    nan        0.967      73.443     1.000      9888.018  
2950       0.937      0.918      -67.004    nan        0.966      73.040     1.000      10033.190 
3000       0.937      0.911      -66.775    nan        0.966      73.330     1.000      10180.174 
3050       0.938      0.929      -66.547    nan        0.965      72.807     1.000      10335.668 
3100       0.939      0.917      -66.320    nan        0.965      72.647     1.000      10495.663 
3150       0.940      0.928      -66.095    nan        0.965      72.428     1.000      10655.405 
3200       0.939      0.922      -65.871    nan        0.964      72.239     1.000      10815.586 
3250       0.940      0.926      -65.648    nan        0.964      72.005     1.000      10972.359 
3300       0.939      0.919      -65.426    nan        0.963      71.847     1.000      11129.750 
