label:               eaDCA                                             
model:               eaDCA                                             
input MSA:           final_fullpf00014.fasta                           
alphabet:            protein                                           
sampler:             gibbs                                             
nchains:             10000                                             
nsweeps:             10                                                
lr:                  0.05                                              
pseudo count:        0.00011791062374719962                            
data type:           float32                                           
target Pearson Cij:  0.95                                              
gsteps:              10                                                
factivate:           0.001                                             
random seed:         0                                                 

Epochs     Pearson    Slope      LL_train   LL_test    ESS        Entropy    Density    Time      
10         0.361      0.123      -89.934    nan        0.993      92.614     0.706      235.580   
20         0.559      0.253      -88.963    nan        0.990      92.083     1.026      463.168   
30         0.639      0.360      -88.288    nan        0.988      91.446     1.301      698.005   
40         0.681      0.439      -87.777    nan        0.986      90.893     1.539      934.416   
50         0.707      0.490      -87.353    nan        0.985      90.315     1.758      1178.175  
60         0.728      0.532      -86.980    nan        0.985      89.697     1.954      1412.533  
70         0.741      0.558      -86.649    nan        0.984      89.483     2.154      1647.507  
80         0.756      0.582      -86.346    nan        0.983      89.110     2.342      1882.695  
90         0.762      0.600      -86.067    nan        0.983      88.988     2.518      2117.728  
100        0.772      0.631      -85.803    nan        0.982      88.529     2.694      2351.777  
110        0.780      0.638      -85.559    nan        0.981      88.169     2.837      2586.757  
120        0.784      0.642      -85.329    nan        0.981      87.894     2.982      2822.632  
130        0.790      0.658      -85.112    nan        0.980      87.890     3.120      3057.675  
140        0.797      0.668      -84.905    nan        0.980      87.655     3.250      3293.399  
150        0.797      0.672      -84.710    nan        0.979      87.519     3.369      3528.568  
160        0.802      0.682      -84.524    nan        0.979      87.351     3.482      3763.550  
170        0.804      0.681      -84.345    nan        0.978      87.385     3.588      3998.743  
180        0.807      0.682      -84.173    nan        0.978      86.753     3.685      4232.681  
190        0.813      0.703      -84.006    nan        0.977      86.666     3.773      4467.076  
200        0.815      0.709      -83.845    nan        0.977      86.466     3.851      4701.496  
210        0.818      0.709      -83.689    nan        0.976      86.398     3.921      4936.273  
220        0.818      0.712      -83.537    nan        0.975      85.997     3.997      5170.540  
230        0.821      0.711      -83.389    nan        0.975      86.030     4.061      5405.121  
240        0.823      0.725      -83.244    nan        0.974      85.909     4.118      5638.824  
250        0.826      0.739      -83.103    nan        0.973      85.636     4.178      5873.236  
260        0.824      0.717      -82.965    nan        0.973      85.625     4.231      6106.647  
270        0.829      0.734      -82.830    nan        0.972      85.545     4.281      6340.456  
280        0.830      0.740      -82.699    nan        0.972      85.162     4.336      6574.651  
290        0.831      0.740      -82.570    nan        0.971      85.216     4.381      6809.365  
300        0.831      0.736      -82.443    nan        0.970      85.194     4.429      7042.994  
310        0.830      0.740      -82.317    nan        0.970      84.882     4.477      7276.977  
320        0.834      0.746      -82.194    nan        0.969      84.695     4.521      7511.504  
330        0.836      0.748      -82.073    nan        0.968      84.729     4.565      7745.762  
340        0.835      0.747      -81.953    nan        0.968      84.407     4.607      7979.437  
350        0.836      0.753      -81.835    nan        0.967      84.292     4.690      8213.372  
360        0.839      0.747      -81.720    nan        0.967      84.207     4.731      8447.738  
370        0.838      0.756      -81.605    nan        0.966      84.004     4.798      8680.929  
380        0.839      0.762      -81.492    nan        0.965      84.162     4.878      8915.017  
390        0.840      0.760      -81.379    nan        0.965      83.787     4.914      9149.001  
400        0.844      0.765      -81.267    nan        0.964      83.819     4.995      9382.382  
410        0.844      0.765      -81.157    nan        0.964      83.697     5.060      9616.857  
420        0.844      0.762      -81.048    nan        0.963      83.761     5.120      9850.337  
430        0.845      0.764      -80.939    nan        0.963      83.554     5.186      10083.725 
440        0.846      0.772      -80.831    nan        0.962      83.265     5.239      10317.794 
